ability_1,ability_2,win_rate
Skywrath Mage,Chakra Magic,46.98
Clockwerk,Rot,52.23
Muerta,Corrosive Weaponry,55.64
Lina,Shrapnel,53.54
Tidehunter,Counter Helix,56.84
Centaur Warrunner,Berserker's Call,52.63
Sven,Tree Grab,52.37
Terrorblade,Phantom Rush,48.68
Bloodseeker,Omnislash,51.58
Primal Beast,Blade Fury,59.47
Crystal Maiden,Arc Lightning,46.17
Shadow Fiend,Meld,53.56
Monkey King,Omnislash,49.87
Moon Glaives,Phantasm,57.94
Monkey King,Bash of the Deep,52.91
Natural Order,Earth Splitter,54.76
Windranger,Time Lock,47.62
Dispersion,True Form,55.56
Finger of Death,Laser,45.24
Mars,Heartstopper Aura,60.85
Corrosive Weaponry,Marksmanship,49.6
Windranger,Meld,50.13
Shadow Demon,Juxtapose,55.97
Bash of the Deep,Focus Fire Facet,48.4
Lone Druid,Elder Dragon Form,44.15
Moon Glaives,Mirror Image,63.3
Slark,Corrosive Weaponry,46.28
Primal Beast,Corrosive Skin,57.71
Drow Ranger,Bloodrage,55.85
Nature's Grasp,Rearm,45.21
Bloodseeker,Great Cleave,50.27
Mortal Strike,Grow,49.73
Pulse Nova,Shukuchi,60.64
Huskar,Nether Blast,43.09
Keeper of the Light,Blinding Light,49.73
Mirana,Time Lock,44.0
Fiery Soul,Plasma Field,56.27
Skywrath Mage,Magic Missile,48.27
Brewmaster,Berserker's Blood,55.73
Alchemist,Sand Storm,56.53
Conjure Image,Sunder,46.93
Vengeance Aura,Freezing Field,66.67
Muerta,Incapacitating Bite,57.6
Clinkz,Time Lock,47.73
Terrorblade,Phantom Strike,57.87
Omnislash,Inner Beast,46.79
Dead Shot,Pierce the Veil,43.58
Centaur Warrunner,Uproar,53.21
Treant Protector,Mortal Strike,44.92
Viper,Psi Blades,47.59
Pugna,Frostbite,56.68
Venomancer,Poison Attack,46.52
Techies,Heavenly Jump,52.94
Arc Warden,Geminate Attack,50.27
Treant Protector,Tree Grab,51.47
Unknown Ability #1518,Unknown Ability #1519,41.55
Mirana,Fury Swipes,53.35
Techies,Dark Ascension,50.67
Mortimer Kisses,Lil' Shredder,47.99
Batrider,Focus Fire Facet,50.13
Tidehunter,Uproar,58.98
Cloak and Dagger,Ion Shell,52.96
Laser,Assassinate,48.66
Reactive Tazer,Marksmanship,53.49
Nyx Assassin,Cloak and Dagger,59.68
Medusa,Juxtapose,65.32
Juggernaut,Ghoul Frenzy,49.87
Lone Druid,Arc Lightning,51.21
Arc Warden,Impetus,49.6
Mirana,Elder Dragon Form,43.4
Rot,Corrosive Skin,60.92
Arc Lightning,Focus Fire Facet,49.6
Corrosive Weaponry,Juxtapose,45.28
Slark,Overpower,48.11
Hoodwink,Coup de Grace,54.59
Aftershock,Whirling Death,68.38
Ogre Magi,Tree Grab,56.49
Storm Surge,Counter Helix,54.86
Shadow Fiend,Rage,66.49
Dragon Knight,Kraken Shell,56.49
Fissure,Meat Hook,54.05
Unknown Ability #1517,Unknown Ability #1518,46.76
Dark Seer,Cloak and Dagger,53.51
Vengeful Spirit,Fiery Soul,51.08
Skywrath Mage,Cloak and Dagger,52.16
Eye of the Storm,Windrun,54.74
Burrowstrike,Ravage,50.41
Omniknight,Tree Grab,54.2
Strafe,Elder Dragon Form,45.26
Kez,Omnislash,48.78
Void Spirit,Resonant Pulse,52.17
Keeper of the Light,Battle Hunger,49.73
Disruptor,Magic Missile,47.55
Burning Spear,Sticky Napalm,41.03
Windranger,Marksmanship,47.83
Clinkz,Elder Dragon Form,44.84
Treant Protector,Tidebringer,45.65
Ogre Magi,Dispersion,63.59
Slark,Reality Rift,55.31
Chaos Knight,Tree Grab,46.87
Skywrath Mage,Assassinate,50.68
Cloak and Dagger,Rocket Barrage,58.04
Light Strike Array,Frostbite,56.95
Leshrac,Light Strike Array,62.94
Pudge,Corrosive Skin,56.13
Spectre,Spirit Lance,43.32
Blink,Skewer,57.22
Aftershock,Arcane Bolt,53.95
Finger of Death,Gush,47.68
Lone Druid,Marksmanship,42.23
Jakiro,Time Lock,55.31
Ogre Magi,Life Break,54.1
Lone Druid,Psi Blades,50.55
Drow Ranger,Coup de Grace,54.1
Ogre Magi,Lunar Orbit,54.92
Leshrac,Torrent,60.11
Huskar,Lightning Bolt,50.55
Huskar,Purification,51.64
Lina,Enfeeble,53.55
Strafe,Time Lock,46.72
Vengeance Aura,Doom,59.02
Raptor Dance,Unknown Ability #1518,46.85
Mirana,Juxtapose,52.05
Timbersaw,Aftershock,57.26
Shadow Fiend,Phase Shift,58.63
Arc Warden,Poison Attack,51.51
The Calling,Gunslinger,48.22
Cloak and Dagger,Battery Assault,55.34
Vengeance Aura,Death Ward,58.08
Sniper,Meld,60.0
Infest,Crippling Fear,49.59
Arc Warden,Arctic Burn,59.89
Mars,Corrosive Skin,54.95
Hoodwink,Mana Break,50.82
Ember Spirit,Grow,52.47
Shadow Fiend,Inner Beast,56.87
Tame the Beasts,Frostbite,50.0
Mirana,Corrosive Weaponry,50.41
Hoodwink,Arc Lightning,58.13
Treant Protector,Hammer of Purity,45.45
Magnus,Burrowstrike,57.3
Drow Ranger,God's Strength,59.5
Clinkz,Focus Fire Facet,37.19
Queen of Pain,Bash of the Deep,52.62
Oracle,Thundergod's Wrath,47.79
Laguna Blade,Maledict,46.13
Nature's Prophet,Bodyguard,55.25
Muerta,Bodyguard,56.08
Vengeful Spirit,Fury Swipes,58.56
Ringmaster,Frostbite,50.28
Aftershock,Double Edge,58.56
Riki,Tree Grab,45.58
Heavenly Jump,Marksmanship,51.93
Blink,Freezing Field,54.42
Grimstroke,Frostbite,56.08
Troll Warlord,Arc Lightning,47.24
Liquid Frost,Ice Path,53.46
Magic Missile,Split Earth,55.68
Ember Spirit,Natural Order,56.51
Hoodwink,Psi Blades,56.23
Pulverize,Charge of Darkness,51.25
Ogre Magi,Corrosive Skin,66.76
Chain Frost,Vacuum,54.17
Grimstroke,Magic Missile,54.44
Aftershock,Rocket Barrage,63.61
Razor,Mana Break,57.22
Lina,Ignite,53.89
Uproar,Corrosive Skin,58.61
Warlock,Spawn Spiderlings,59.17
Primal Beast,Heartstopper Aura,60.83
Guardian Sprint,Focus Fire Facet,43.06
Trample,Cloak and Dagger,49.72
Rubick,Lucent Beam,51.25
Naga Siren,Doppelganger,52.92
Treant Protector,Assassinate,44.29
Pugna,Fiend's Grip,51.53
Snapfire,Burning Spear,49.86
Jakiro,Arc Lightning,54.87
Lina,Thunder Strike,52.65
Techies,Mirror Image,55.03
Repel,Rearm,51.4
Primal Beast,Dispersion,62.01
Omniknight,Corrosive Skin,59.22
Mind Flare,Lightning Bolt,49.72
Juggernaut,Lunar Orbit,53.35
Drow Ranger,Phase Shift,55.31
Burrowstrike,Skewer,55.59
Faceless Void,Tree Grab,51.96
Nature's Prophet,Saltwater Shiv,51.12
Overload,Sticky Napalm,52.1
Medusa,Incapacitating Bite,63.31
Bash of the Deep,Inner Beast,50.42
Corrosive Weaponry,Elder Dragon Form,47.34
Slark,Chemical Rage,53.22
Largo,Repel,62.18
Vengeful Spirit,Mana Break,48.46
Sniper,Phase Shift,60.78
Dark Seer,Blade Fury,62.18
Terrorblade,Atrophy Aura,66.39
Primal Beast,Exorcism,53.37
Centaur Warrunner,Overgrowth,63.2
Lifestealer,Phantom Strike,56.46
Kraken Shell,Dispersion,52.25
Rearm,Ice Path,46.07
Saltwater Shiv,Marksmanship,48.6
Slark,True Form,46.63
Gyrocopter,Bash of the Deep,57.3
Sticky Napalm,Rocket Barrage,51.4
Immaterial,Juxtapose,52.53
Medusa,Phase Shift,61.24
Shadow Fiend,Blade Dance,57.87
Demonic Summoning,Rearm,43.82
Epicenter,Blink,54.21
Mars,Enchant Totem,63.76
Reflection,Metamorphosis,43.38
Invoker,Glaives of Wisdom,48.17
Chen,Holy Persuasion,45.35
Windranger,Psi Blades,53.8
Viper,Corrosive Weaponry,49.86
Hoodwink,Elder Dragon Form,48.45
Phoenix,Berserker's Blood,51.27
Jakiro,Bloodrage,44.35
Blade Fury,Diabolic Edict,57.34
Cloak and Dagger,Venomous Gale,46.05
Drow Ranger,Insatiable Hunger,57.91
Dispersion,Quill Spray,56.21
Meat Hook,Dragon Tail,53.39
Clinkz,Mana Break,46.61
Shadowraze,Cloak and Dagger,52.54
Ogre Magi,Overgrowth,62.15
Oracle,Frostbite,52.26
Shadow Wave,Wall of Replica,54.39
Legion Commander,Blink Strike,51.84
Voodoo Restoration,Arcane Orb,70.25
Lina,Impalement Arts,50.71
Fiend's Grip,Sacred Arrow,54.11
Battle Hunger,Cloak and Dagger,57.39
Sacred Arrow,Meat Hook,57.95
Chain Frost,Paralyzing Cask,53.69
Juggernaut,Bash of the Deep,54.55
Fiery Soul,Crypt Swarm,51.14
Splinter Blast,Winter's Curse,51.42
Thundergod's Wrath,Vengeance Aura,55.97
Muerta,Marksmanship,48.58
Centaur Warrunner,Nature's Attendants,54.26
Kunkka,God's Strength,46.02
Oracle,Magic Missile,50.28
Homing Missile,Flak Cannon,54.83
Phase Shift,Arc Lightning,56.53
Viper,Focus Fire Facet,40.74
Outworld Devourer,Pulse Nova,58.12
Strafe,Impetus,46.72
Skywrath Mage,Lightning Bolt,51.0
Spectre,Phantom Strike,48.43
Skywrath Mage,Powershot,46.72
Slark,Inner Beast,44.73
Brain Sap,Cloak and Dagger,54.13
Windranger,Guardian Sprint,49.86
Blade Fury,Dismember,58.29
Finger of Death,Shadow Strike,44.0
Jakiro,Heavenly Jump,50.29
Dispersion,Enrage,60.86
Ogre Magi,Chemical Rage,61.14
Clockwerk,Dispersion,59.43
Focus Fire Facet,Searing Arrows,43.71
Timbersaw,Corrosive Skin,55.14
Viper,Time Lock,45.14
Tusk,Tree Grab,60.0
Blink,Skewer,60.29
Grimstroke,Chakra Magic,51.14
Primal Beast,Berserker's Blood,55.3
Clockwerk,Berserker's Call,54.73
Spirits,Overcharge,53.01
Dazzle,Fiery Soul,50.14
Arc Warden,Coup de Grace,43.27
Mars,God's Strength,48.14
Techies,Insatiable Hunger,52.44
Crystal Maiden,Bash of the Deep,42.12
Pangolier,Tree Grab,46.84
Medusa,Doppelganger,59.48
Windranger,Corrosive Weaponry,54.89
Ringmaster,Cloak and Dagger,50.86
Lina,Venomous Gale,52.87
Astral Spirit,Omnislash,58.05
Muerta,Inner Beast,47.99
Pulverize,Avalanche,57.18
Nature's Prophet,Inner Beast,48.85
Techies,Drunken Brawler,62.64
Dazzle,Elder Dragon Form,49.14
Arc Warden,Infernal Blade,52.87
Centaur Warrunner,Reincarnation,55.75
Dragon Knight,Lunar Orbit,61.78
Shadow Fiend,Heavenly Jump,56.61
Arc Warden,Corrosive Weaponry,56.77
Skywrath Mage,Pulse Nova,50.72
Tinker,Blood Rite,45.82
Gyrocopter,Inner Beast,54.76
Arc Warden,Focus Fire Facet,43.52
Kunkka,Grow,45.82
Razor,Fury Swipes,63.4
Dark Seer,Freezing Field,55.04
Flux,Magnetic Field,51.87
Lifestealer,Counter Helix,56.48
Vengeful Spirit,Juxtapose,47.84
Grow,Kraken Shell,45.53
Wraith King,Uproar,58.79
Wraith King,Tree Grab,50.58
Slithereen Crush,Time Walk,54.34
Warlock,Cloak and Dagger,55.2
Warlock,Avalanche,57.8
Fiend's Grip,Gush,54.34
Brewmaster,Phantom Strike,48.55
Ogre Magi,Phantom Strike,62.43
Nature's Grasp,Sticky Napalm,48.84
Life Break,Dispersion,58.09
Vengeful Spirit,Elder Dragon Form,45.51
Tidebringer,Presence of the Dark Lord,54.49
Dazzle,Mana Break,50.72
Muerta,Bash of the Deep,53.04
Lycan,Tree Grab,55.65
Lina,Nature's Grasp,56.23
Techies,Burning Spear,54.78
Lone Druid,Time Lock,47.97
Clinkz,Arc Lightning,44.77
Warlock,Frostbite,57.85
Fiery Soul,Shadow Poison,51.16
Slardar,Blink,55.52
Tinker,Gush,49.71
Muerta,Arc Lightning,55.23
Centaur Warrunner,Rot,61.63
Anti-Mage,Great Cleave,48.84
Brewmaster,Corrosive Skin,56.69
Lion,Light Strike Array,54.94
Tusk,Reality Rift,59.59
Nature's Prophet,Frost Arrows,47.38
Pulverize,Aftershock,53.94
Heartstopper Aura,Corrosive Skin,57.73
Trample,Rot,53.94
Lunar Orbit,God's Strength,55.1
Shadow Fiend,Repel,59.18
Jakiro,Poison Touch,41.69
Tidehunter,Eye of the Storm,53.06
Void Spirit,Whirling Death,57.14
Corrosive Weaponry,Poison Attack,54.52
Crystal Nova,Cloak and Dagger,54.23
Rubick,Sonic Wave,47.52
Gyrocopter,God's Strength,59.36
Phantasm,Conjure Image,53.22
Mana Drain,Lightning Bolt,45.03
Ball Lightning,Arcane Orb,72.22
Techies,Wall of Replica,51.46
Windranger,Fiery Soul,54.09
Terrorblade,Ghoul Frenzy,52.63
Slark,Static Link,47.37
Light Strike Array,Avalanche,60.23
Arc Warden,Strafe,49.71
Nature's Prophet,Juxtapose,53.37
Pudge,Heartstopper Aura,57.18
Chaos Knight,Berserker's Blood,54.25
Strafe,Arc Lightning,49.85
Necrophos,Aftershock,57.18
Hoodwink,Jinada,56.89
Dragon Knight,Reincarnation,64.81
Void Spirit,Hoof Stomp,53.08
Magnus,Trample,45.16
Sniper,Insatiable Hunger,63.05
Largo,Frost Shield,56.6
Centaur Warrunner,Grow,50.15
Tidehunter,Dispersion,56.76
Light Strike Array,Magic Missile,54.41
Phoenix,Vengeance Aura,49.71
Treant Protector,Lunar Orbit,54.41
Blade Fury,Pulse Nova,60.0
Marksmanship,Inner Beast,45.0
Telekinesis,Fade Bolt,42.06
Death Ward,Fatal Bonds,48.82
Tusk,Corrosive Skin,62.35
Queen of Pain,Fiery Soul,49.85
Fortune's End,Fate's Edict,52.8
Mirana,Fiery Soul,36.87
Hoodwink,Mortal Strike,56.05
Uproar,Exorcism,57.23
Spectre,Tree Grab,46.02
Leshrac,Pulverize,52.21
Clockwerk,Exorcism,50.0
Ember Spirit,Infest,46.15
Windrun,Pulse Nova,58.28
Chain Frost,Sinister Gaze,61.24
Tinker,Meat Hook,55.33
Skywrath Mage,Storm Hammer,53.25
Powershot,Chakra Magic,47.93
Tidehunter,Storm Surge,58.46
Corrosive Skin,Untouchable,50.15
Blade Fury,Eye of the Storm,53.71
Lone Druid,Mana Break,47.48
Fiend's Grip,Earth Spike,52.52
Meepo,Earthbind,46.88
Skywrath Mage,Shockwave,50.74
Chaos Knight,Phantom Rush,42.43
Mana Drain,Cloak and Dagger,48.66
Shadow Fiend,Insatiable Hunger,66.17
Tidehunter,Berserker's Blood,61.72
Slark,Dream Coil,43.32
Omnislash,Phantom Strike,54.3
Death Prophet,Arc Lightning,54.01
Sniper,Phantasm,63.99
Sacred Arrow,Assassinate,57.14
Leshrac,Avalanche,67.26
Uproar,Rot,55.65
Oracle,Chakra Magic,58.33
Snapfire,Corrosive Weaponry,49.7
Oracle,Sacred Arrow,53.87
Void Spirit,Tree Grab,47.32
Wraith King,Vengeance Aura,61.01
Nature's Prophet,Mana Break,49.4
Centaur Warrunner,Decay,55.06
Arc Warden,Split Shot,42.26
Torrent,Storm Hammer,52.98
Mirana,Guardian Sprint,47.02
Drow Ranger,Blade Dance,51.79
Ogre Magi,Eye of the Storm,58.51
Noxious Plague,Maledict,52.24
Soul Assumption,Summon Familiars,41.49
Shadow Demon,Arc Lightning,51.94
Treant Protector,Anchor Smash,48.06
Jakiro,Saltwater Shiv,48.06
Tinker,Magic Missile,53.13
Batrider,Elder Dragon Form,51.94
Huskar,Powershot,45.67
Jakiro,Immaterial,50.6
Corrosive Skin,Dispersion,63.47
Sniper,Coup de Grace,58.38
Warlock,Gush,59.58
Leshrac,Blood Rite,62.28
Phantom Assassin,Great Cleave,44.31
Muerta,Searing Arrows,51.2
Jakiro,Phase Shift,44.91
Vengeful Spirit,Great Cleave,50.0
Outworld Devourer,Voodoo Restoration,70.66
Hoodwink,Infernal Blade,58.68
Muerta,Saltwater Shiv,55.69
Keeper of the Light,Static Remnant,46.41
Kez,Great Cleave,51.8
Fissure,Cloak and Dagger,55.09
Centaur Warrunner,Flesh Golem,56.89
Bodyguard,Omnislash,55.69
Marksmanship,Guardian Sprint,50.3
Magnus,Hoof Stomp,52.1
Marksmanship,Meld,45.95
Venomancer,Frost Arrows,48.35
Escape Act,Exorcism,46.25
Anti-Mage,Tree Grab,46.85
Catchy Lick,Cloak and Dagger,58.56
Ghoul Frenzy,Inner Beast,42.34
Nature's Prophet,Time Lock,53.45
Dark Seer,Black Hole,50.75
Hoodwink,Time Lock,57.36
Uproar,Eye of the Storm,54.95
Storm Hammer,Gush,53.15
Medusa,Phantasm,60.96
Viper,Juxtapose,43.37
Techies,Poison Attack,59.94
Lone Druid,Juxtapose,48.49
Juxtapose,Inner Beast,51.51
Oracle,Cloak and Dagger,57.83
Beastmaster,Aftershock,54.82
Slark,Swashbuckle,48.49
Shadow Demon,Infernal Blade,56.33
Jakiro,Strafe,45.78
Treant Protector,Phantom Strike,51.81
Shadow Fiend,God's Strength,59.04
Gyrocopter,Time Lock,52.71
Nether Blast,Chakra Magic,48.49
Dragon Knight,Exorcism,61.75
Warlock,Rearm,45.18
Tinker,Shrapnel,47.29
Purifying Flames,False Promise,44.88
Drow Ranger,Reactive Tazer,52.27
Blink,Electric Vortex,51.36
Razor,Ghoul Frenzy,51.96
Arc Warden,Ghoul Frenzy,47.73
Magnus,Time Walk,48.94
Skywrath Mage,Chaos Bolt,52.27
Treant Protector,Grow,42.3
Storm Hammer,Chain Frost,53.47
Techies,Penitence,50.15
Shadow Fiend,Astral Spirit,57.1
Keeper of the Light,Shrapnel,48.34
Mirana,Saltwater Shiv,43.2
Lina,Thundergod's Wrath,53.17
Arcane Aura,Assassinate,44.55
Tinker,Starstorm,50.61
Brewmaster,Dispersion,58.79
Phantom Strike,Dragon Tail,57.58
Shadow Fiend,Incapacitating Bite,63.03
Faceless Void,Omnislash,46.36
Power Cogs,Rocket Flare,50.0
Hoodwink,Corrosive Weaponry,50.91
Arc Warden,Phantasm,51.52
Oracle,Lightning Bolt,53.64
Slark,Ghoul Frenzy,49.7
Blink,Hoof Stomp,55.76
Blink,Dragon Tail,53.94
Nature's Attendants,Tether,59.7
Visage,Cloak and Dagger,52.12
Lunar Orbit,Omnislash,50.91
Troll Warlord,Split Shot,37.39
Black Hole,Blink,51.37
Naga Siren,Phantasm,55.32
Oracle,Laguna Blade,50.76
Gush,Lucent Beam,48.94
Cloak and Dagger,Wild Axes,55.93
Ogre Magi,Heartstopper Aura,55.62
Vengeful Spirit,Dream Coil,51.98
Tidehunter,Pulverize,51.98
Muerta,Frost Arrows,48.33
God's Strength,Phantom Strike,51.98
Nature's Prophet,Hex,51.37
Clockwerk,Uproar,56.53
Mortal Strike,Corrosive Haze,48.33
Sniper,Drunken Brawler,63.53
Torrent,Earth Spike,61.09
Anti-Mage,Omnislash,39.82
Drow Ranger,Heavenly Jump,58.97
Enchantress,Meld,48.33
Inner Beast,Elder Dragon Form,47.11
Monkey King,Psi Blades,58.36
Batrider,Poison Sting,57.01
Aftershock,Anchor Smash,61.28
Pulverize,Berserker's Call,55.49
Astral Spirit,Dream Coil,50.91
Nature's Prophet,Poison Attack,50.3
Lich,Magic Missile,46.95
Bristleback,Aftershock,63.11
Slark,Shapeshift,49.7
Echo Slash,Unknown Ability #1518,50.3
Mana Drain,Frostbite,50.3
Healing Ward,Rearm,51.83
Razor,Psi Blades,55.79
Fiend's Grip,Storm Hammer,54.27
Tricks of the Trade,Coup de Grace,35.47
Sniper,Presence of the Dark Lord,53.52
Pudge,Battery Assault,54.13
Arc Warden,Flak Cannon,58.72
Strafe,God's Strength,51.99
Lina,Crypt Swarm,55.96
Muerta,Glaives of Wisdom,65.44
Lich,Frostbite,55.96
Avalanche,Chain Frost,65.44
Inner Beast,Coup de Grace,41.59
Counter Helix,Kraken Shell,51.38
Omnislash,Time Lock,46.79
Nature's Prophet,Psi Blades,56.27
Strafe,Coup de Grace,41.28
Battery Assault,Shukuchi,56.88
Dazzle,Psi Blades,48.01
Viper,Guardian Sprint,47.24
Medusa,Guardian Sprint,56.75
Rot,Battery Assault,55.83
Uproar,Infest,54.29
Sniper,Burning Spear,55.52
Witch Doctor,Magic Missile,53.37
Batrider,Poison Attack,56.44
Shadow Fiend,Saltwater Shiv,57.36
Earth Spirit,Corrosive Skin,54.91
Pugna,Assassinate,53.37
Counter Helix,Eye of the Storm,56.75
Gyrocopter,Fury Swipes,61.66
Ogre Magi,Shapeshift,59.82
Viper,Meld,40.49
Legion Commander,Reality Rift,49.85
Rot,Heartstopper Aura,54.77
Tidebringer,Refraction,52.31
Fiend's Grip,Vengeance Aura,58.46
Lina,Plasma Field,53.85
Ancient Apparition,Frost Arrows,51.08
Hoodwink,Moon Glaives,56.62
Phantom Assassin,Tree Grab,48.62
Grimstroke,Cloak and Dagger,57.23
Muerta,Phase Shift,54.63
Ancient Apparition,Marksmanship,47.53
Viper,Arc Lightning,53.7
Hex,Hex,49.69
Gush,Cloak and Dagger,52.78
Nature's Prophet,Phase Shift,58.64
Alchemist,Tree Grab,56.17
Ember Spirit,Great Cleave,45.99
Drow Ranger,Feast of Souls,54.32
Arc Warden,Hammer of Purity,47.22
Monkey King,Enchant Totem,50.62
Black Hole,Fatal Bonds,44.44
Ghoul Frenzy,Great Cleave,51.85
Clockwerk,Heartstopper Aura,50.62
Tidehunter,Heartstopper Aura,61.11
Ogre Magi,Great Cleave,53.4
Lunar Orbit,Tree Grab,59.57
Tinker,Assassinate,44.75
Ghoul Frenzy,Bodyguard,52.01
Gyrocopter,Corrosive Weaponry,52.63
Rubick,Gush,51.39
Sand Storm,Freezing Field,55.42
Storm Hammer,Black Hole,53.87
Centaur Warrunner,Exorcism,53.25
Pudge,Double Edge,42.41
Focus Fire Facet,Glaives of Wisdom,55.73
Phantom Assassin,Mortal Strike,48.3
Spectre,Doppelganger,59.75
Finger of Death,Shadow Wave,47.68
Void Spirit,Rocket Barrage,52.32
Techies,Poison Sting,63.16
Leshrac,Freezing Field,61.61
Laguna Blade,Powershot,46.75
Gush,Vengeance Aura,62.23
Dual Breath,Sticky Napalm,45.51
Razor,Marksmanship,54.49
Phantom Rush,Omnislash,45.82
Venomancer,Elder Dragon Form,46.44
Exorcism,Sand Storm,48.61
Exorcism,Windrun,62.85
Dark Willow,Wall of Replica,58.51
Techies,Phantasm,53.56
Laguna Blade,Fade Bolt,48.92
Techies,Astral Spirit,53.73
Astral Spirit,Enchant Totem,39.13
Omnislash,Fiery Soul,52.48
Treant Protector,Berserker's Blood,53.42
Earth Spike,Chain Frost,63.66
Dispersion,Double Edge,62.42
Tusk,Blade Fury,63.04
Huskar,Inner Fire,45.34
Clinkz,Fury Swipes,51.24
Avalanche,Ravage,55.28
Mind Flare,Laguna Blade,46.89
Techies,Coup de Grace,56.52
Grimstroke,Chaos Bolt,54.66
Keeper of the Light,Quill Spray,39.13
Rocket Barrage,Flak Cannon,50.0
Dazzle,Marksmanship,44.86
Dazzle,Fury Swipes,52.34
Gyrocopter,Juxtapose,57.94
Dazzle,Time Lock,48.6
Oracle,Ice Blast,49.53
Gyrocopter,Psi Blades,57.63
Assassinate,Shadow Strike,42.06
Gyrocopter,Bodyguard,62.93
Ghost Shroud,Exorcism,44.24
Sand Storm,Black Hole,55.45
Nature's Prophet,Coup de Grace,49.84
Blade Dance,Great Cleave,49.84
Ancient Apparition,Wall of Replica,51.09
Burrowstrike,Hoof Stomp,55.76
Elder Dragon Form,Mirror Image,53.58
Battle Hunger,Fiery Soul,51.4
Light Strike Array,Storm Hammer,58.88
Vengeful Spirit,Strafe,45.79
Chain Frost,Fatal Bonds,48.91
Ember Spirit,Tree Grab,49.22
Nature's Prophet,God's Strength,50.16
Spectre,Great Cleave,47.35
Techies,Guardian Sprint,53.12
Batrider,Fiery Soul,60.94
Ringmaster,Magic Missile,51.25
Brain Sap,Lightning Bolt,48.44
Naga Siren,Tree Grab,57.5
Nature's Call,Wrath of Nature,41.56
Terrorblade,Bash of the Deep,56.88
Hoodwink,Wall of Replica,55.0
Outworld Devourer,Ball Lightning,66.88
Spectre,Mirror Image,48.12
Nightmare,Bash of the Deep,44.06
Tinker,Frogstomp,41.88
Arc Warden,Chemical Rage,59.69
Juggernaut,Bodyguard,57.81
Vengeful Spirit,Geminate Attack,42.81
Ghostship,Storm Hammer,53.75
Pulse Nova,Arcane Orb,54.37
Tusk,Dispersion,66.25
Death Prophet,Fiery Soul,56.11
Stifling Dagger,Meld,42.32
Jakiro,Elder Dragon Form,40.44
Voodoo Restoration,Sanity's Eclipse,63.64
Uproar,Primal Roar,55.8
Cloak and Dagger,Malefice,50.78
Huskar,Shadow Wave,46.08
Lina,Croak of Genius,54.23
Zeus,Sacred Arrow,55.17
Strafe,Poison Attack,52.98
Nature's Prophet,Hex,50.78
Disruptor,Frostbite,55.49
Earth Spirit,Blade Fury,52.98
Hoodwink,Geminate Attack,51.41
Monkey King,Phantom Rush,47.65
Jakiro,Dream Coil,44.65
Noxious Plague,Earth Spike,65.72
Razor,Elder Dragon Form,48.43
Centaur Warrunner,Dismember,54.72
Bloodseeker,Rot,54.72
Focus Fire Facet,Poison Attack,45.6
Skywrath Mage,Laguna Blade,43.71
Storm Hammer,Electric Vortex,53.77
Slark,Open Wounds,45.28
Walrus PUNCH!,Swashbuckle,39.31
Snapfire,Meld,46.86
Bristleback,Reactive Armor,51.89
Centaur Warrunner,Pulverize,55.35
Astral Spirit,Flak Cannon,71.38
Vengeful Spirit,Moon Glaives,52.2
Paralyzing Cask,Cloak and Dagger,56.6
Juggernaut,Empower,64.15
Muerta,Juxtapose,54.09
Wraith King,Rot,61.2
Juggernaut,Bloodrage,44.48
Frost Arrows,Elder Dragon Form,47.95
Ogre Magi,Hookshot,48.26
Tinker,Frostbite,45.74
Reactive Armor,Quill Spray,48.58
Tidehunter,Lunar Orbit,54.89
Dragon Slave,Crypt Swarm,48.9
Vengeful Spirit,Marksmanship,41.96
Razor,Time Lock,46.37
Earth Spike,Split Earth,57.73
Skywrath Mage,Earth Spike,55.84
Great Cleave,Phantom Strike,54.26
Shadow Fiend,Hex,57.41
Muerta,Hex,49.37
Brewmaster,Rot,58.86
Morphling,Bash of the Deep,51.9
Repel,Black Hole,47.78
Bloodrage,Marksmanship,51.27
Fiend's Grip,Shackles,49.68
Muerta,Nightmare,45.89
Mirana,Moon Glaives,55.06
Arc Warden,Saltwater Shiv,44.3
Catchy Lick,Meat Hook,53.8
Pugna,Powershot,49.68
Mirana,Coup de Grace,46.84
Storm Hammer,Ravage,57.91
Bloodseeker,Counter Helix,58.23
Vengeful Spirit,Ghoul Frenzy,48.73
Dragon Knight,Tree Grab,56.83
Juggernaut,Feast of Souls,40.63
Nature's Prophet,Doppelganger,54.29
Rubick,Macropyre,51.43
Monkey King,Time Lock,43.49
Riki,Omnislash,40.95
Lunar Orbit,Enchant Totem,42.54
Muerta,Psi Blades,56.83
Pudge,Dispersion,57.78
Rubick,Life Drain,49.84
Marksmanship,Headshot,50.48
Lich,Vengeance Aura,65.08
Faceless Void,Great Cleave,47.94
Drow Ranger,Wyrm's Wrath,57.78
Tame the Beasts,Earth Spike,58.73
Witch Doctor,Frostbite,46.98
Soulbind,Phantom's Embrace,55.24
Oracle,Fiend's Grip,55.87
Catchy Lick,Rupture,50.16
Phoenix,Sticky Napalm,41.72
Nature's Prophet,Nightmare,47.45
Echo Slam,Static Remnant,55.73
Disruptor,Assassinate,51.59
Summon Spirit Bear,True Form,34.08
Lina,Maledict,56.37
Ember Spirit,Presence of the Dark Lord,56.05
Arc Warden,Incapacitating Bite,55.41
Troll Warlord,Marksmanship,43.31
Gyrocopter,Marksmanship,48.73
Muerta,Refraction,62.74
Silencer,Ball Lightning,51.27
